        1000  -3.0000000    
  -1.7192320      -9.9297190       3.3607657    
  -1.7108059      -9.9103918       3.3611398    
  -1.7023797      -9.8910170       3.3615210    
  -1.6939536      -9.8674021       3.3619099    
  -1.6855276      -9.8445902       3.3623061    
  -1.6771014      -9.8224564       3.3627102    
  -1.6686753      -9.8010054       3.3631225    
  -1.6602492      -9.7801647       3.3635426    
  -1.6518230      -9.7598972       3.3639708    
  -1.6433970      -9.7401333       3.3644075    
  -1.6349709      -9.7208681       3.3648529    
  -1.6265448      -9.7008324       3.3653069    
  -1.6181186      -9.6773176       3.3657699    
  -1.6096926      -9.6545830       3.3662419    
  -1.6012665      -9.6325636       3.3667231    
  -1.5928403      -9.6111908       3.3672137    
  -1.5844142      -9.5904226       3.3677142    
  -1.5759882      -9.5701990       3.3682241    
  -1.5675621      -9.5505047       3.3687444    
  -1.5591359      -9.5312891       3.3692746    
  -1.5507098      -9.5106316       3.3698151    
  -1.5422838      -9.4872236       3.3703666    
  -1.5338576      -9.4645844       3.3709285    
  -1.5254315      -9.4426327       3.3715017    
  -1.5170054      -9.4213333       3.3720858    
  -1.5085793      -9.4006262       3.3726816    
  -1.5001532      -9.3804607       3.3732891    
  -1.4917271      -9.3608208       3.3739083    
  -1.4833010      -9.3416443       3.3745399    
  -1.4748749      -9.3204241       3.3751836    
  -1.4664488      -9.2971115       3.3758399    
  -1.4580227      -9.2745409       3.3765094    
  -1.4495965      -9.2526693       3.3771918    
  -1.4411705      -9.2314272       3.3778875    
  -1.4327444      -9.2107668       3.3785970    
  -1.4243182      -9.1906662       3.3793201    
  -1.4158921      -9.1710529       3.3800576    
  -1.4074661      -9.1519203       3.3808095    
  -1.3990400      -9.1302109       3.3815763    
  -1.3906138      -9.1069727       3.3823578    
  -1.3821877      -9.0844727       3.3831549    
  -1.3737617      -9.0626516       3.3839674    
  -1.3653355      -9.0414658       3.3847959    
  -1.3569094      -9.0208473       3.3856409    
  -1.3484833      -9.0007725       3.3865020    
  -1.3400573      -8.9811983       3.3873801    
  -1.3316311      -8.9620934       3.3882756    
  -1.3232050      -8.9399719       3.3891885    
  -1.3147789      -8.9167919       3.3901193    
  -1.3063527      -8.8943453       3.3910685    
  -1.2979267      -8.8725710       3.3920360    
  -1.2895006      -8.8514242       3.3930225    
  -1.2810744      -8.8308392       3.3940284    
  -1.2726483      -8.8107891       3.3950541    
  -1.2642223      -8.7912321       3.3960998    
  -1.2557962      -8.7721386       3.3971660    
  -1.2473700      -8.7497025       3.3982532    
  -1.2389439      -8.7265673       3.3993616    
  -1.2305179      -8.7041607       3.4004917    
  -1.2220917      -8.6824131       3.4016440    
  -1.2136656      -8.6612797       3.4028187    
  -1.2052395      -8.6407204       3.4040165    
  -1.1968133      -8.6206789       3.4052379    
  -1.1883873      -8.6011276       3.4064832    
  -1.1799612      -8.5820351       3.4077528    
  -1.1715351      -8.5593948       3.4090471    
  -1.1631089      -8.5362854       3.4103670    
  -1.1546829      -8.5138998       3.4117126    
  -1.1462568      -8.4921627       3.4130847    
  -1.1378306      -8.4710340       3.4144838    
  -1.1294045      -8.4504681       3.4159102    
  -1.1209785      -8.4304285       3.4173644    
  -1.1125524      -8.4108648       3.4188473    
  -1.1041262      -8.3917542       3.4203591    
  -1.0957001      -8.3690329       3.4219005    
  -1.0872741      -8.3459301       3.4234722    
  -1.0788479      -8.3235321       3.4250748    
  -1.0704218      -8.3017912       3.4267087    
  -1.0619957      -8.2806492       3.4283745    
  -1.0535696      -8.2600632       3.4300730    
  -1.0451435      -8.2399960       3.4318047    
  -1.0367174      -8.2204046       3.4335704    
  -1.0282913      -8.2012625       3.4353707    
  -1.0198652      -8.1786051       3.4372063    
  -1.0114391      -8.1554852       3.4390779    
  -1.0030130      -8.1330585       3.4409862    
 -0.99458694      -8.1112814       3.4429317    
 -0.98616076      -8.0901003       3.4449153    
 -0.97773457      -8.0694714       3.4469380    
 -0.96930861      -8.0493536       3.4490001    
 -0.96088243      -8.0297098       3.4511027    
 -0.95245624      -8.0105104       3.4532466    
 -0.94403028      -7.9881129       3.4554322    
 -0.93560410      -7.9649329       3.4576609    
 -0.92717791      -7.9424534       3.4599330    
 -0.91875196      -7.9206100       3.4622498    
 -0.91032577      -7.8993616       3.4646120    
 -0.90189981      -7.8786588       3.4670205    
 -0.89347363      -7.8584652       3.4694762    
 -0.88504744      -7.8387465       3.4719799    
 -0.87662148      -7.8194647       3.4745326    
 -0.86819530      -7.7975326       3.4771354    
 -0.85976911      -7.7742620       3.4797893    
 -0.85134315      -7.7516866       3.4824951    
 -0.84291697      -7.7297516       3.4852538    
 -0.83449078      -7.7084002       3.4880667    
 -0.82606483      -7.6875968       3.4909346    
 -0.81763864      -7.6672959       3.4938588    
 -0.80921245      -7.6474633       3.4968402    
 -0.80078650      -7.6280699       3.4998801    
 -0.79236031      -7.6068640       3.5029795    
 -0.78393412      -7.5834665       3.5061395    
 -0.77550817      -7.5607543       3.5093615    
 -0.76708198      -7.5386810       3.5126467    
 -0.75865602      -7.5171914       3.5159962    
 -0.75022984      -7.4962449       3.5194113    
 -0.74180365      -7.4757996       3.5228934    
 -0.73337770      -7.4558225       3.5264435    
 -0.72495151      -7.4362788       3.5300634    
 -0.71652532      -7.4161186       3.5337541    
 -0.70809937      -7.3925352       3.5375171    
 -0.69967318      -7.3696389       3.5413539    
 -0.69124699      -7.3473802       3.5452659    
 -0.68282104      -7.3257065       3.5492544    
 -0.67439485      -7.3045716       3.5533211    
 -0.66596866      -7.2839394       3.5574675    
 -0.65754271      -7.2637711       3.5616949    
 -0.64911652      -7.2440343       3.5660055    
 -0.64069033      -7.2247024       3.5704002    
 -0.63226438      -7.2014766       3.5748813    
 -0.62383819      -7.1783390       3.5794501    
 -0.61541200      -7.1558390       3.5841084    
 -0.60698605      -7.1339245       3.5888579    
 -0.59855986      -7.1125503       3.5937004    
 -0.59013391      -7.0916758       3.5986378    
 -0.58170772      -7.0712667       3.6036720    
 -0.57328153      -7.0512881       3.6088049    
 -0.56485558      -7.0317125       3.6140380    
 -0.55642939      -7.0103188       3.6193740    
 -0.54800320      -6.9868693       3.6248145    
 -0.53957725      -6.9640613       3.6303616    
 -0.53115106      -6.9418416       3.6360173    
 -0.52272487      -6.9201636       3.6417837    
 -0.51429892      -6.8989882       3.6476631    
 -0.50587273      -6.8782763       3.6536579    
 -0.49744654      -6.8579979       3.6597700    
 -0.48902059      -6.8381186       3.6660018    
 -0.48059440      -6.8186150       3.6723557    
 -0.47216821      -6.7952733       3.6788342    
 -0.46374226      -6.7720776       3.6854393    
 -0.45531607      -6.7494755       3.6921742    
 -0.44689012      -6.7274203       3.6990407    
 -0.43846393      -6.7058702       3.7060418    
 -0.43003774      -6.6847849       3.7131803    
 -0.42161179      -6.6641340       3.7204585    
 -0.41318560      -6.6438861       3.7278793    
 -0.40475941      -6.6240125       3.7354455    
 -0.39633346      -6.6036401       3.7431598    
 -0.38790727      -6.5799608       3.7510254    
 -0.37948108      -6.5568829       3.7590451    
 -0.37105513      -6.5343599       3.7672219    
 -0.36262894      -6.5123477       3.7755589    
 -0.35420275      -6.4908075       3.7840593    
 -0.34577680      -6.4697046       3.7927258    
 -0.33735061      -6.4490061       3.8015625    
 -0.32892442      -6.4286842       3.8105724    
 -0.32049847      -6.4087119       3.8197584    
 -0.31207228      -6.3878446       3.8291247    
 -0.30364609      -6.3641825       3.8386745    
 -0.29522014      -6.3410864       3.8484111    
 -0.28679395      -6.3185105       3.8583388    
 -0.27836800      -6.2964153       3.8684607    
 -0.26994181      -6.2747622       3.8787813    
 -0.26151562      -6.2535191       3.8893039    
 -0.25308967      -6.2326579       3.9000323    
 -0.24466348      -6.2121487       3.9109712    
 -0.23623729      -6.1919670       3.9221246    
 -0.22781134      -6.1715884       3.9334960    
 -0.21938515      -6.1477909       3.9450908    
 -0.21095896      -6.1245289       3.9569125    
 -0.20253301      -6.1017590       3.9689655    
 -0.19410682      -6.0794420       3.9812551    
 -0.18568063      -6.0575442       3.9937851    
 -0.17725468      -6.0360351       4.0065603    
 -0.16882849      -6.0148826       4.0195866    
 -0.16040230      -5.9940634       4.0328679    
 -0.15197635      -5.9735537       4.0464087    
 -0.14355016      -5.9533296       4.0602155    
 -0.13512421      -5.9307051       4.0742922    
 -0.12669802      -5.9071178       4.0886455    
 -0.11827183      -5.8840013       4.1032796    
 -0.10984588      -5.8613167       4.1182003    
 -0.10141969      -5.8390303       4.1334133    
 -9.29934978E-02  -5.8171129       4.1489244    
 -8.45675468E-02  -5.7955356       4.1647391    
 -7.61413574E-02  -5.7742724       4.1808643    
 -6.77151680E-02  -5.7533021       4.1973052    
 -5.92892170E-02  -5.7326026       4.2140675    
 -5.08630276E-02  -5.7121530       4.2311592    
 -4.24368382E-02  -5.6888785       4.2485852    
 -3.40108871E-02  -5.6652484       4.2663527    
 -2.55846977E-02  -5.6420345       4.2844682    
 -1.71585083E-02  -5.6192031       4.3029389    
 -8.73255730E-03  -5.5967259       4.3217707    
 -3.06367874E-04  -5.5745735       4.3409724    
  8.11958313E-03  -5.5527234       4.3605494    
  1.65457726E-02  -5.5311513       4.3805103    
  2.49719620E-02  -5.5098352       4.4008627    
  3.33979130E-02  -5.4887567       4.4216132    
  4.18241024E-02  -5.4678979       4.4427710    
  5.02502918E-02  -5.4456844       4.4643426    
  5.86762428E-02  -5.4217644       4.4863367    
  6.71024323E-02  -5.3982172       4.5087624    
  7.55286217E-02  -5.3750129       4.5316272    
  8.39545727E-02  -5.3521256       4.5549393    
  9.23807621E-02  -5.3295283       4.5787086    
  0.10080695      -5.3071985       4.6029444    
  0.10923290      -5.2851167       4.6276536    
  0.11765909      -5.2632618       4.6528478    
  0.12608528      -5.2416158       4.6785355    
  0.13451123      -5.2201633       4.7047257    
  0.14293742      -5.1988869       4.7314301    
  0.15136361      -5.1764741       4.7586570    
  0.15978956      -5.1523619       4.7864170    
  0.16821575      -5.1285596       4.8147216    
  0.17664170      -5.1050444       4.8435798    
  0.18506789      -5.0817909       4.8730044    
  0.19349408      -5.0587792       4.9030051    
  0.20192003      -5.0359888       4.9335928    
  0.21034622      -5.0134001       4.9647808    
  0.21877241      -4.9909968       4.9965801    
  0.22719836      -4.9687643       5.0290012    
  0.23562455      -4.9466867       5.0620580    
  0.24405074      -4.9247499       5.0957627    
  0.25247669      -4.9029422       5.1301270    
  0.26090288      -4.8799582       5.1651654    
  0.26932907      -4.8555984       5.2008901    
  0.27775502      -4.8314795       5.2373137    
  0.28618121      -4.8075800       5.2744522    
  0.29460740      -4.7838821       5.3123178    
  0.30303335      -4.7603679       5.3509245    
  0.31145954      -4.7370195       5.3902884    
  0.31988549      -4.7138233       5.4304228    
  0.32831168      -4.6907640       5.4713440    
  0.33673787      -4.6678281       5.5130677    
  0.34516382      -4.6450047       5.5556068    
  0.35359001      -4.6222806       5.5989809    
  0.36201620      -4.5996447       5.6432052    
  0.37044215      -4.5770869       5.6882944    
  0.37886834      -4.5540800       5.7342677    
  0.38729453      -4.5292778       5.7811422    
  0.39572048      -4.5046463       5.8289337    
  0.40414667      -4.4801674       5.8776627    
  0.41257286      -4.4558263       5.9273462    
  0.42099881      -4.4316101       5.9780016    
  0.42942500      -4.4075036       6.0296507    
  0.43785119      -4.3834953       6.0823126    
  0.44627714      -4.3595748       6.1360035    
  0.45470333      -4.3357291       6.1907492    
  0.46312952      -4.3119493       6.2465663    
  0.47155547      -4.2882261       6.3034754    
  0.47998166      -4.2645488       6.3615017    
  0.48840761      -4.2409101       6.4206629    
  0.49683380      -4.2173004       6.4809847    
  0.50525999      -4.1937127       6.5424881    
  0.51368594      -4.1700249       6.6051950    
  0.52211213      -4.1445813       6.6691322    
  0.53053832      -4.1192279       6.7343216    
  0.53896427      -4.0939527       6.8007870    
  0.54739046      -4.0687432       6.8685555    
  0.55581665      -4.0435905       6.9376526    
  0.56424260      -4.0184855       7.0081005    
  0.57266879      -3.9934168       7.0799313    
  0.58109498      -3.9683764       7.1531692    
