        1000  -3.0000000    
  -1.7597357       3.6240811       35.989288    
  -1.7519841       3.6163001       35.988976    
  -1.7442324       3.6084847       35.988655    
  -1.7364808       3.6007037       35.988331    
  -1.7287291       3.5928802       35.987999    
  -1.7209775       3.5851274       35.987663    
  -1.7132258       3.5773151       35.987320    
  -1.7054741       3.5695584       35.986973    
  -1.6977226       3.5617738       35.986618    
  -1.6899709       3.5539684       35.986256    
  -1.6822193       3.5462191       35.985889    
  -1.6744676       3.5384297       35.985516    
  -1.6667160       3.5306368       35.985134    
  -1.6589643       3.5228338       35.984745    
  -1.6512126       3.5150819       35.984352    
  -1.6434610       3.5072460       35.983948    
  -1.6357093       3.4994779       35.983540    
  -1.6279577       3.4916964       35.983124    
  -1.6202060       3.4839206       35.982700    
  -1.6124544       3.4760725       35.982265    
  -1.6047027       3.4682951       35.981827    
  -1.5969510       3.4605229       35.981380    
  -1.5891994       3.4526858       35.980923    
  -1.5814477       3.4449346       35.980461    
  -1.5736961       3.4371257       35.979988    
  -1.5659444       3.4293261       35.979507    
  -1.5581928       3.4215457       35.979019    
  -1.5504411       3.4137177       35.978519    
  -1.5426896       3.4059174       35.978012    
  -1.5349379       3.3981280       35.977497    
  -1.5271862       3.3903208       35.976971    
  -1.5194346       3.3825297       35.976437    
  -1.5116829       3.3747127       35.975891    
  -1.5039313       3.3669250       35.975338    
  -1.4961796       3.3591185       35.974773    
  -1.4884280       3.3512952       35.974197    
  -1.4806763       3.3435059       35.973614    
  -1.4729246       3.3357003       35.973019    
  -1.4651730       3.3278773       35.972412    
  -1.4574213       3.3200614       35.971794    
  -1.4496697       3.3122854       35.971169    
  -1.4419180       3.3044517       35.970528    
  -1.4341664       3.2966287       35.969875    
  -1.4264147       3.2888460       35.969215    
  -1.4186630       3.2810204       35.968540    
  -1.4109114       3.2732091       35.967854    
  -1.4031597       3.2654014       35.967155    
  -1.3954082       3.2575676       35.966442    
  -1.3876565       3.2497420       35.965717    
  -1.3799049       3.2419381       35.964981    
  -1.3721532       3.2341082       35.964230    
  -1.3644015       3.2262611       35.963463    
  -1.3566499       3.2184362       35.962685    
  -1.3488982       3.2106364       35.961895    
  -1.3411466       3.2027850       35.961086    
  -1.3333949       3.1949623       35.960266    
  -1.3256433       3.1871374       35.959431    
  -1.3178916       3.1793094       35.958580    
  -1.3101400       3.1714761       35.957714    
  -1.3023883       3.1636438       35.956833    
  -1.2946366       3.1557860       35.955933    
  -1.2868850       3.1479681       35.955021    
  -1.2791333       3.1401215       35.954090    
  -1.2713817       3.1322870       35.953144    
  -1.2636300       3.1244330       35.952179    
  -1.2558784       3.1166012       35.951199    
  -1.2481267       3.1087527       35.950199    
  -1.2403750       3.1008914       35.949181    
  -1.2326235       3.0930581       35.948147    
  -1.2248718       3.0851889       35.947090    
  -1.2171202       3.0773425       35.946018    
  -1.2093685       3.0694954       35.944927    
  -1.2016169       3.0616252       35.943813    
  -1.1938652       3.0537853       35.942684    
  -1.1861135       3.0459046       35.941528    
  -1.1783619       3.0380554       35.940357    
  -1.1706102       3.0301969       35.939163    
  -1.1628586       3.0223203       35.937946    
  -1.1551069       3.0144629       35.936710    
  -1.1473553       3.0065753       35.935448    
  -1.1396036       2.9987087       35.934166    
  -1.1318519       2.9908404       35.932861    
  -1.1241003       2.9829528       35.931530    
  -1.1163486       2.9750688       35.930176    
  -1.1085970       2.9671867       35.928799    
  -1.1008453       2.9593177       35.927399    
  -1.0930938       2.9514153       35.925968    
  -1.0853420       2.9435263       35.924515    
  -1.0775905       2.9356520       35.923038    
  -1.0698388       2.9277561       35.921532    
  -1.0620871       2.9198570       35.919998    
  -1.0543355       2.9119422       35.918434    
  -1.0465838       2.9040513       35.916847    
  -1.0388322       2.8961489       35.915230    
  -1.0310805       2.8882358       35.913582    
  -1.0233289       2.8803349       35.911907    
  -1.0155772       2.8724113       35.910198    
  -1.0078255       2.8645022       35.908463    
  -1.0000739       2.8565767       35.906693    
 -0.99232221       2.8486557       35.904892    
 -0.98457050       2.8407376       35.903061    
 -0.97681904       2.8327980       35.901192    
 -0.96906734       2.8248641       35.899292    
 -0.96131563       2.8169279       35.897358    
 -0.95356393       2.8089914       35.895390    
 -0.94581223       2.8010559       35.893387    
 -0.93806076       2.7931085       35.891346    
 -0.93030906       2.7851665       35.889271    
 -0.92255735       2.7772045       35.887154    
 -0.91480565       2.7692525       35.885002    
 -0.90705419       2.7612979       35.882813    
 -0.89930248       2.7533309       35.880581    
 -0.89155078       2.7453687       35.878311    
 -0.88379908       2.7373974       35.875999    
 -0.87604737       2.7294207       35.873646    
 -0.86829591       2.7214439       35.871250    
 -0.86054420       2.7134516       35.868809    
 -0.85279250       2.7054744       35.866329    
 -0.84504080       2.6974771       35.863800    
 -0.83728909       2.6894743       35.861225    
 -0.82953763       2.6814833       35.858608    
 -0.82178593       2.6734779       35.855942    
 -0.81403422       2.6654644       35.853226    
 -0.80628252       2.6574545       35.850464    
 -0.79853106       2.6494308       35.847649    
 -0.79077935       2.6414013       35.844784    
 -0.78302765       2.6333766       35.841869    
 -0.77527595       2.6253438       35.838902    
 -0.76752424       2.6173053       35.835880    
 -0.75977278       2.6092653       35.832806    
 -0.75202107       2.6012130       35.829674    
 -0.74426937       2.5931542       35.826485    
 -0.73651767       2.5850999       35.823242    
 -0.72876620       2.5770342       35.819939    
 -0.72101450       2.5689583       35.816574    
 -0.71326280       2.5608852       35.813152    
 -0.70551109       2.5527971       35.809666    
 -0.69775939       2.5447083       35.806118    
 -0.69000793       2.5366116       35.802505    
 -0.68225622       2.5285077       35.798828    
 -0.67450452       2.5204015       35.795086    
 -0.66675282       2.5122857       35.791275    
 -0.65900111       2.5041633       35.787395    
 -0.65124965       2.4960363       35.783447    
 -0.64349794       2.4878993       35.779427    
 -0.63574624       2.4797564       35.775333    
 -0.62799454       2.4716077       35.771168    
 -0.62024307       2.4634497       35.766926    
 -0.61249137       2.4552844       35.762608    
 -0.60473967       2.4471147       35.758213    
 -0.59698796       2.4389348       35.753738    
 -0.58923626       2.4307485       35.749184    
 -0.58148479       2.4225507       35.744545    
 -0.57373309       2.4143515       35.739826    
 -0.56598139       2.4061382       35.735020    
 -0.55822968       2.3979211       35.730129    
 -0.55047822       2.3896909       35.725147    
 -0.54272652       2.3814530       35.720078    
 -0.53497481       2.3732080       35.714916    
 -0.52722311       2.3649545       35.709663    
 -0.51947141       2.3566854       35.704311    
 -0.51171994       2.3484147       35.698868    
 -0.50396824       2.3401325       35.693325    
 -0.49621654       2.3318350       35.687679    
 -0.48846483       2.3235316       35.681934    
 -0.48071313       2.3152189       35.676086    
 -0.47296166       2.3068993       35.670135    
 -0.46520996       2.2985635       35.664074    
 -0.45745826       2.2902167       35.657902    
 -0.44970655       2.2818630       35.651623    
 -0.44195509       2.2734973       35.645229    
 -0.43420339       2.2651165       35.638718    
 -0.42645168       2.2567275       35.632092    
 -0.41869998       2.2483282       35.625347    
 -0.41094828       2.2399163       35.618481    
 -0.40319681       2.2314892       35.611488    
 -0.39544511       2.2230492       35.604370    
 -0.38769341       2.2146006       35.597126    
 -0.37994170       2.2061391       35.589752    
 -0.37219000       2.1976590       35.582241    
 -0.36443853       2.1891723       35.574600    
 -0.35668683       2.1806674       35.566818    
 -0.34893513       2.1721480       35.558895    
 -0.34118342       2.1636162       35.550831    
 -0.33343196       2.1550705       35.542622    
 -0.32568026       2.1465092       35.534264    
 -0.31792855       2.1379337       35.525757    
 -0.31017685       2.1293445       35.517097    
 -0.30242515       2.1207349       35.508278    
 -0.29467368       2.1121161       35.499306    
 -0.28692198       2.1034744       35.490166    
 -0.27917027       2.0948207       35.480865    
 -0.27141857       2.0861461       35.471394    
 -0.26366711       2.0774574       35.461754    
 -0.25591540       2.0687530       35.451942    
 -0.24816370       2.0600281       35.441952    
 -0.24041200       2.0512860       35.431782    
 -0.23266029       2.0425251       35.421429    
 -0.22490883       2.0337448       35.410889    
 -0.21715713       2.0249453       35.400158    
 -0.20940542       2.0161276       35.389236    
 -0.20165372       2.0072889       35.378117    
 -0.19390202       1.9984313       35.366798    
 -0.18615055       1.9895513       35.355274    
 -0.17839885       1.9806486       35.343540    
 -0.17064714       1.9717281       35.331600    
 -0.16289544       1.9627842       35.319443    
 -0.15514398       1.9538162       35.307064    
 -0.14739227       1.9448287       35.294468    
 -0.13964057       1.9358145       35.281639    
 -0.13188887       1.9267772       35.268581    
 -0.12413716       1.9177182       35.255291    
 -0.11638570       1.9086337       35.241760    
 -0.10863400       1.8995210       35.227982    
 -0.10088229       1.8903856       35.213959    
 -9.31305885E-02   1.8812243       35.199684    
 -8.53791237E-02   1.8720347       35.185150    
 -7.76274204E-02   1.8628192       35.170357    
 -6.98757172E-02   1.8535739       35.155293    
 -6.21240139E-02   1.8443023       35.139961    
 -5.43723106E-02   1.8350005       35.124352    
 -4.66208458E-02   1.8256711       35.108463    
 -3.88691425E-02   1.8163091       35.092285    
 -3.11174393E-02   1.8069192       35.075821    
 -2.33657360E-02   1.7974955       35.059055    
 -1.56140327E-02   1.7880405       35.041988    
 -7.86256790E-03   1.7785540       35.024616    
 -1.10864639E-04   1.7690341       35.006931    
  7.64083862E-03   1.7594795       34.988926    
  1.53925419E-02   1.7498901       34.970596    
  2.31440067E-02   1.7402668       34.951939    
  3.08957100E-02   1.7306073       34.932945    
  3.86474133E-02   1.7209107       34.913609    
  4.63991165E-02   1.7111750       34.893921    
  5.41508198E-02   1.7014030       34.873882    
  6.19022846E-02   1.6915909       34.853481    
  6.96539879E-02   1.6817397       34.832714    
  7.74056911E-02   1.6718476       34.811573    
  8.51573944E-02   1.6619138       34.790051    
  9.29088593E-02   1.6519369       34.768139    
  0.10066056       1.6419170       34.745834    
  0.10841227       1.6318521       34.723125    
  0.11616397       1.6217442       34.700012    
  0.12391567       1.6115884       34.676479    
  0.13166714       1.6013856       34.652523    
  0.13941884       1.5911348       34.628136    
  0.14717054       1.5808352       34.603310    
  0.15492225       1.5704857       34.578037    
  0.16267395       1.5600840       34.552307    
  0.17042542       1.5496318       34.526119    
  0.17817712       1.5391240       34.499454    
  0.18592882       1.5285617       34.472309    
  0.19368052       1.5179448       34.444679    
  0.20143199       1.5072703       34.416550    
  0.20918369       1.4965370       34.387913    
  0.21693540       1.4857428       34.358757    
  0.22468710       1.4748900       34.329082    
  0.23243880       1.4639735       34.298870    
  0.24019027       1.4529999       34.268112    
  0.24794197       1.4419665       34.236805    
  0.25569367       1.4308658       34.204929    
  0.26344538       1.4196979       34.172482    
  0.27119708       1.4084612       34.139450    
  0.27894855       1.3971541       34.105824    
  0.28670025       1.3857743       34.071590    
  0.29445195       1.3743200       34.036739    
  0.30220366       1.3627911       34.001263    
  0.30995512       1.3511851       33.965149    
  0.31770682       1.3394996       33.928383    
  0.32545853       1.3277324       33.890953    
  0.33321023       1.3158833       33.852852    
  0.34096193       1.3039491       33.814064    
  0.34871340       1.2919282       33.774578    
  0.35646510       1.2798178       33.734379    
  0.36421680       1.2676160       33.693455    
  0.37196851       1.2553223       33.651798    
  0.37971997       1.2429326       33.609390    
  0.38747168       1.2304441       33.566216    
  0.39522338       1.2178562       33.522266    
  0.40297508       1.2051649       33.477524    
  0.41072679       1.1923685       33.431976    
  0.41847825       1.1794643       33.385609    
  0.42622995       1.1664490       33.338406    
  0.43398166       1.1533201       33.290352    
  0.44173336       1.1400744       33.241432    
  0.44948506       1.1267091       33.191631    
  0.45723653       1.1132224       33.140938    
  0.46498823       1.0996089       33.089329    
  0.47273993       1.0858659       33.036789    
  0.48049164       1.0719904       32.983303    
  0.48824310       1.0579789       32.928856    
  0.49599481       1.0438275       32.873428    
  0.50374651       1.0295317       32.817001    
  0.51149821       1.0150880       32.759556    
  0.51924992       1.0004930       32.701080    
  0.52700138      0.98574090       32.641548    
  0.53475308      0.97082907       32.580948    
  0.54250479      0.95575064       32.519253    
  0.55025649      0.94051695       32.456444    
  0.55800796      0.92515570       32.392509    
  0.56575966      0.90961778       32.327423    
  0.57351136      0.89389718       32.261162    
  0.58126307      0.87798971       32.193710    
  0.58901477      0.86188799       32.125038    
  0.59676623      0.84558892       32.055138    
  0.60451794      0.82908314       31.983973    
  0.61226964      0.81236601       31.911528    
  0.62002134      0.79543024       31.837776    
  0.62777305      0.77826917       31.762699    
  0.63552451      0.76087493       31.686270    
  0.64327621      0.74323970       31.608463    
  0.65102792      0.72535545       31.529255    
  0.65877962      0.70721340       31.448620    
  0.66653109      0.68880534       31.366535    
  0.67428279      0.67012119       31.282970    
  0.68203449      0.65115041       31.197901    
  0.68978620      0.63188285       31.111298    
  0.69753790      0.61230797       31.023136    
  0.70528936      0.59249306       30.933390    
  0.71304107      0.57243478       30.842024    
  0.72079277      0.55204320       30.749012    
  0.72854447      0.53130555       30.654327    
  0.73629618      0.51020670       30.557934    
  0.74404764      0.48873433       30.459810    
  0.75179935      0.46687025       30.359917    
  0.75955105      0.44459766       30.258221    
  0.76730275      0.42190051       30.154697    
  0.77505422      0.39875859       30.049311    
  0.78280592      0.37515095       29.942024    
  0.79055762      0.35105547       29.832804    
  0.79830933      0.32647374       29.721617    
  0.80606103      0.30165821       29.608429    
  0.81381249      0.27630508       29.493204    
  0.82156420      0.25038582       29.375902    
  0.82931590      0.22387105       29.256487    
  0.83706760      0.19672853       29.134922    
  0.84481907      0.16892321       29.011171    
  0.85257077      0.14041455       28.885187    
  0.86032248      0.11116147       28.756935    
  0.86807418      8.13314170E-02   28.626373    
  0.87582588      5.10250777E-02   28.493460    
  0.86807418      2.04270706E-02   28.360542    
  0.86032248     -9.93934367E-03   28.229980    
  0.85257077     -4.00966257E-02   28.101728    
  0.84481907     -7.00662062E-02   27.975744    
  0.83706760     -9.98673290E-02   27.851994    
  0.82931590     -0.12922740       27.730429    
  0.82156420     -0.15802842       27.611013    
  0.81381249     -0.18668115       27.493711    
  0.80606103     -0.21520272       27.378487    
  0.79830933     -0.24361187       27.265299    
  0.79055762     -0.27192619       27.154112    
  0.78280592     -0.30016333       27.044891    
  0.77505422     -0.32776797       26.937605    
  0.76730275     -0.35503298       26.832218    
  0.75955105     -0.38222688       26.728695    
  0.75179935     -0.40936708       26.626999    
  0.74404764     -0.43646726       26.527105    
  0.73629618     -0.46354437       26.428982    
  0.72854447     -0.49049312       26.332588    
  0.72079277     -0.51660585       26.237904    
  0.71304107     -0.54269588       26.144892    
  0.70528936     -0.56877768       26.053526    
  0.69753790     -0.59486598       25.963779    
  0.68978620     -0.62097883       25.875618    
  0.68203449     -0.64713287       25.789015    
  0.67428279     -0.67255670       25.703945    
  0.66653109     -0.69771320       25.620380    
  0.65877962     -0.72290069       25.538296    
  0.65102792     -0.74813688       25.457661    
  0.64327621     -0.77343714       25.378452    
  0.63552451     -0.79881817       25.300646    
  0.62777305     -0.82375169       25.224216    
  0.62002134     -0.84811223       25.149139    
  0.61226964     -0.87254131       25.075388    
  0.60451794     -0.89705336       25.002943    
  0.59676623     -0.92166603       24.931778    
  0.58901477     -0.94639552       24.861876    
  0.58126307     -0.97086656       24.793207    
  0.57351136     -0.99454772       24.725754    
  0.56575966      -1.0183295       24.659492    
  0.55800796      -1.0422273       24.594404    
  0.55025649      -1.0662583       24.530470    
  0.54250479      -1.0904422       24.467665    
  0.53475308      -1.1144435       24.405970    
  0.52700138      -1.1375451       24.345366    
  0.51924992      -1.1607758       24.285837    
  0.51149821      -1.1841547       24.227360    
  0.50374651      -1.2077001       24.169916    
  0.49599481      -1.2314318       24.113487    
  0.48824310      -1.2549297       24.058060    
  0.48049164      -1.2775388       24.003613    
  0.47273993      -1.3003082       23.950127    
  0.46498823      -1.3232549       23.897587    
  0.45723653      -1.3463979       23.845978    
  0.44948506      -1.3697584       23.795282    
  0.44173336      -1.3927028       23.745483    
  0.43398166      -1.4149014       23.696564    
  0.42622995      -1.4372866       23.648510    
  0.41847825      -1.4598782       23.601307    
  0.41072679      -1.4826957       23.554941    
  0.40297508      -1.5057642       23.509392    
  0.39522338      -1.5280892       23.464651    
  0.38747168      -1.5499489       23.420700    
  0.37971997      -1.5720229       23.377527    
  0.37196851      -1.5943320       23.335117    
  0.36421680      -1.6168971       23.293459    
  0.35646510      -1.6397442       23.252537    
  0.34871340      -1.6613733       23.212339    
  0.34096193      -1.6829621       23.172852    
  0.33321023      -1.7047917       23.134064    
  0.32545853      -1.7268846       23.095963    
  0.31770682      -1.7492659       23.058533    
  0.30995512      -1.7716742       23.021767    
  0.30220366      -1.7928060       22.985653    
  0.29445195      -1.8141874       22.950174    
  0.28670025      -1.8358365       22.915325    
  0.27894855      -1.8577784       22.881092    
  0.27119708      -1.8800356       22.847467    
  0.26344538      -1.9016553       22.814434    
  0.25569367      -1.9226137       22.781986    
  0.24794197      -1.9438456       22.750113    
  0.24019027      -1.9653748       22.718801    
  0.23243880      -1.9872229       22.688047    
  0.22468710      -2.0094218       22.657835    
  0.21693540      -2.0301578       22.628157    
  0.20918369      -2.0509975       22.599005    
  0.20143199      -2.0721371       22.570368    
  0.19368052      -2.0936012       22.542238    
  0.18592882      -2.1154175       22.514605    
  0.17817712      -2.1368937       22.487461    
  0.17042542      -2.1573651       22.460798    
  0.16267395      -2.1781394       22.434607    
  0.15492225      -2.1992409       22.408878    
  0.14717054      -2.2206964       22.383604    
  0.13941884      -2.2425332       22.358778    
  0.13166714      -2.2630167       22.334391    
  0.12391567      -2.2834473       22.310436    
  0.11616397      -2.3042085       22.286903    
  0.10841227      -2.3253224       22.263788    
  0.10066056      -2.3468211       22.241081    
  9.29088593E-02  -2.3680105       22.218777    
  8.51573944E-02  -2.3881192       22.196867    
  7.74056911E-02  -2.4085581       22.175344    
  6.96539879E-02  -2.4293537       22.154202    
  6.19022846E-02  -2.4505312       22.133434    
  5.41508198E-02  -2.4721241       22.113033    
  4.63991165E-02  -2.4922075       22.092995    
  3.86474133E-02  -2.5123456       22.073309    
  3.08957100E-02  -2.5328381       22.053972    
  2.31440067E-02  -2.5537150       22.034977    
  1.53925419E-02  -2.5750062       22.016317    
  7.64083862E-03  -2.5957627       21.997990    
 -1.10864639E-04  -2.6156170       21.979984    
 -7.86256790E-03  -2.6358247       21.962299    
 -1.56140327E-02  -2.6564178       21.944925    
 -2.33657360E-02  -2.6774216       21.927860    
 -3.11174393E-02  -2.6988263       21.911097    
 -3.88691425E-02  -2.7184129       21.894629    
 -4.66208458E-02  -2.7383552       21.878452    
 -5.43723106E-02  -2.7586792       21.862562    
 -6.21240139E-02  -2.7794132       21.846954    
 -6.98757172E-02  -2.8005924       21.831621    
 -7.76274204E-02  -2.8207753       21.816561    
 -8.53791237E-02  -2.8404648       21.801765    
 -9.31305885E-02  -2.8605368       21.787231    
 -0.10088229      -2.8810143       21.772957    
 -0.10863400      -2.9019372       21.758932    
 -0.11638570      -2.9227388       21.745157    
 -0.12413716      -2.9421918       21.731625    
 -0.13188887      -2.9620233       21.718332    
 -0.13964057      -2.9822600       21.705276    
 -0.14739227      -3.0029387       21.692450    
 -0.15514398      -3.0240901       21.679850    
 -0.16289544      -3.0435667       21.667473    
 -0.17064714      -3.0631721       21.655315    
 -0.17839885      -3.0831819       21.643373    
 -0.18615055      -3.1036270       21.631643    
 -0.19390202      -3.1245444       21.620119    
 -0.20165372      -3.1446166       21.608799    
 -0.20940542      -3.1640096       21.597679    
 -0.21715713      -3.1838021       21.586758    
 -0.22490883      -3.2040324       21.576027    
 -0.23266029      -3.2247262       21.565487    
 -0.24041200      -3.2453725       21.555134    
 -0.24816370      -3.2645619       21.544964    
 -0.25591540      -3.2841537       21.534973    
 -0.26366711      -3.3041735       21.525160    
 -0.27141857      -3.3246558       21.515520    
 -0.27917027      -3.3456366       21.506050    
 -0.28692198      -3.3648531       21.496750    
 -0.29467368      -3.3842518       21.487612    
 -0.30242515      -3.4040754       21.478636    
 -0.31017685      -3.4243538       21.469820    
 -0.31792855      -3.4451292       21.461159    
 -0.32568026      -3.4649105       21.452650    
 -0.33343196      -3.4841211       21.444294    
 -0.34118342      -3.5037565       21.436085    
 -0.34893513      -3.5238461       21.428020    
 -0.35668683      -3.5444229       21.420099    
 -0.36443853      -3.5647457       21.412317    
 -0.37219000      -3.5837808       21.404675    
 -0.37994170      -3.6032403       21.397165    
 -0.38769341      -3.6231472       21.389790    
 -0.39544511      -3.6435401       21.382544    
 -0.40319681      -3.6643822       21.375427    
 -0.41094828      -3.6832519       21.368437    
 -0.41869998      -3.7025421       21.361568    
 -0.42645168      -3.7222757       21.354822    
 -0.43420339      -3.7424862       21.348196    
 -0.44195509      -3.7632146       21.341686    
 -0.44970655      -3.7825496       21.335293    
 -0.45745826      -3.8016737       21.329012    
 -0.46520996      -3.8212409       21.322842    
 -0.47296166      -3.8412778       21.316782    
 -0.48071313      -3.8618319       21.310827    
 -0.48846483      -3.8816853       21.304979    
 -0.49621654      -3.9006560       21.299234    
 -0.50396824      -3.9200656       21.293591    
 -0.51171994      -3.9399405       21.288048    
 -0.51947141      -3.9603219       21.282602    
 -0.52722311      -3.9806745       21.277254    
 -0.53497481      -3.9994986       21.271999    
 -0.54272652      -4.0187535       21.266838    
 -0.55047822      -4.0384717       21.261768    
 -0.55822968      -4.0586882       21.256788    
 -0.56598139      -4.0794430       21.251896    
 -0.57373309      -4.0982156       21.247089    
 -0.58148479      -4.1173229       21.242369    
 -0.58923626      -4.1368904       21.237732    
 -0.59698796      -4.1569490       21.233177    
 -0.60473967      -4.1775427       21.228703    
