#       RADIUS         OMEGA_H            NU_H         SIGMA_D          VC_TOT            VC_B            NU_B      PSIMAJ_TOT           PSI''
#
  0.55000001       1.1433796       1.2263937      0.27186605       2.0976219       0.0000000       0.0000000      -28.739756      -11.319059    
  0.56000000       1.1302346       1.2122808      0.27090269       2.1015863       0.0000000       0.0000000      -28.659769      -11.070595    
  0.56999999       1.1175100       1.2005762      0.26994273       2.1056645       0.0000000       0.0000000      -28.581995      -10.831432    
  0.57999998       1.1050850       1.1881588      0.26898617       2.1092215       0.0000000       0.0000000      -28.504213      -10.592269    
  0.58999997       1.0930458       1.1751791      0.26803303       2.1129088       0.0000000       0.0000000      -28.428556      -10.368532    
  0.59999996       1.0812807       1.1634196      0.26708323       2.1161001       0.0000000       0.0000000      -28.352903      -10.144794    
  0.61000001       1.0698705       1.1520003      0.26613680       2.1194260       0.0000000       0.0000000      -28.279272      -9.9328671    
  0.62000000       1.0587113       1.1399550      0.26519373       2.1222789       0.0000000       0.0000000      -28.205647      -9.7209396    
  0.63000000       1.0478801       1.1299653      0.26425400       2.1252680       0.0000000       0.0000000      -28.133957      -9.5217113    
  0.63999999       1.0372791       1.1193298      0.26331761       2.1278057       0.0000000       0.0000000      -28.062269      -9.3224831    
  0.64999998       1.0269817       1.1081723      0.26238453       2.1304798       0.0000000       0.0000000      -27.992451      -9.1368113    
  0.65999997       1.0168966       1.0988512      0.26145479       2.1327224       0.0000000       0.0000000      -27.922628      -8.9511414    
  0.66999996       1.0070927       1.0882064      0.26052830       2.1350963       0.0000000       0.0000000      -27.854595      -8.7743158    
  0.68000001      0.99748492       1.0785507      0.25960508       2.1370571       0.0000000       0.0000000      -27.786564      -8.5974903    
  0.69000000      0.98813874       1.0691472      0.25868517       2.1391754       0.0000000       0.0000000      -27.720251      -8.4238300    
  0.69999999      0.97897428       1.0599220      0.25776851       2.1408980       0.0000000       0.0000000      -27.653938      -8.2501688    
  0.70999998      0.97005296       1.0509317      0.25685510       2.1427848       0.0000000       0.0000000      -27.589279      -8.0867615    
  0.71999997      0.96130013       1.0421070      0.25594494       2.1442931       0.0000000       0.0000000      -27.524614      -7.9233532    
  0.72999996      0.95277399       1.0335017      0.25503796       2.1459615       0.0000000       0.0000000      -27.461536      -7.7702084    
  0.74000001      0.94440430       1.0250508      0.25413424       2.1472676       0.0000000       0.0000000      -27.398458      -7.6170630    
  0.75000000      0.93624681       1.0161382      0.25323367       2.1487315       0.0000000       0.0000000      -27.336901      -7.4716630    
  0.75999999      0.92823499       1.0080490      0.25233635       2.1498475       0.0000000       0.0000000      -27.275347      -7.3262630    
  0.76999998      0.92042190       1.0001525      0.25144219       2.1511192       0.0000000       0.0000000      -27.215258      -7.1928873    
  0.77999997      0.91274494      0.99239033      0.25055119       2.1520565       0.0000000       0.0000000      -27.155167      -7.0595117    
  0.78999996      0.90525395      0.98480850      0.24966334       2.1531403       0.0000000       0.0000000      -27.096489      -6.9290733    
  0.79999995      0.89789015      0.97674268      0.24877864       2.1539023       0.0000000       0.0000000      -27.037809      -6.7986355    
  0.81000000      0.89070082      0.97006631      0.24789709       2.1548281       0.0000000       0.0000000      -26.980495      -6.6698899    
  0.81999999      0.88363051      0.96289814      0.24701865       2.1554441       0.0000000       0.0000000      -26.923178      -6.5411448    
  0.82999998      0.87672484      0.95588988      0.24614334       2.1562312       0.0000000       0.0000000      -26.867165      -6.4203591    
  0.83999997      0.86993051      0.94899267      0.24527112       2.1567202       0.0000000       0.0000000      -26.811152      -6.2995739    
  0.84999996      0.86329114      0.94168562      0.24440198       2.1573737       0.0000000       0.0000000      -26.756403      -6.1852393    
  0.85999995      0.85675639      0.93505257      0.24353595       2.1577406       0.0000000       0.0000000      -26.701654      -6.0709047    
  0.87000000      0.85036731      0.92910367      0.24267295       2.1582708       0.0000000       0.0000000      -26.648111      -5.9618902    
  0.88000000      0.84407681      0.92216796      0.24181303       2.1585243       0.0000000       0.0000000      -26.594576      -5.8528762    
  0.88999999      0.83792424      0.91590911      0.24095617       2.1589367       0.0000000       0.0000000      -26.542204      -5.7511082    
  0.89999998      0.83186454      0.90974301      0.24010232       2.1590829       0.0000000       0.0000000      -26.489841      -5.6493397    
  0.90999997      0.82593471      0.90370339      0.23925149       2.1593750       0.0000000       0.0000000      -26.438602      -5.5538797    
  0.91999996      0.82009220      0.89775133      0.23840371       2.1594102       0.0000000       0.0000000      -26.387371      -5.4584208    
  0.93000001      0.81437325      0.89191973      0.23755892       2.1596045       0.0000000       0.0000000      -26.337223      -5.3618507    
  0.94000000      0.80873674      0.88568348      0.23671710       2.1595502       0.0000000       0.0000000      -26.287085      -5.2652802    
  0.94999999      0.80321670      0.88005537      0.23587829       2.1596608       0.0000000       0.0000000      -26.237988      -5.1739221    
  0.95999998      0.79777467      0.87450558      0.23504244       2.1595316       0.0000000       0.0000000      -26.188890      -5.0825639    
  0.96999997      0.79244339      0.86906379      0.23420957       2.1595640       0.0000000       0.0000000      -26.140820      -4.9954400    
  0.97999996      0.78718603      0.86369622      0.23337963       2.1593654       0.0000000       0.0000000      -26.092747      -4.9083161    
  0.98999995      0.78203332      0.85843080      0.23255265       2.1593246       0.0000000       0.0000000      -26.045652      -4.8255067    
   1.0000000      0.77695054      0.85323578      0.23172857       2.1590605       0.0000000       0.0000000      -25.998556      -4.7426972    
   1.0100000      0.77196783      0.84813851      0.23090743       2.1589489       0.0000000       0.0000000      -25.952404      -4.6652069    
   1.0200000      0.76705140      0.84310806      0.23008920       2.1586211       0.0000000       0.0000000      -25.906260      -4.5877166    
   1.0300000      0.76222956      0.83817011      0.22927387       2.1584315       0.0000000       0.0000000      -25.861034      -4.5142102    
   1.0400000      0.75747055      0.83329564      0.22846144       2.1580327       0.0000000       0.0000000      -25.815807      -4.4407034    
   1.0500000      0.75280213      0.82850981      0.22765188       2.1577842       0.0000000       0.0000000      -25.771467      -4.3676162    
   1.0599999      0.74819362      0.82378459      0.22684518       2.1573334       0.0000000       0.0000000      -25.727127      -4.2945290    
   1.0699999      0.74367070      0.81914318      0.22604133       2.1570377       0.0000000       0.0000000      -25.683641      -4.2238851    
   1.0799999      0.73920459      0.81455934      0.22524035       2.1565461       0.0000000       0.0000000      -25.640163      -4.1532407    
   1.0900000      0.73482072      0.81005609      0.22444220       2.1562076       0.0000000       0.0000000      -25.597511      -4.0857930    
