0.1 0.572813 0.687685 13.2001 21.9903
0.2 0.546062 0.675587 8.43704 13.6389
0.3 0.522007 0.663702 6.2847 9.88593
0.4 0.500801 0.652025 5.00602 7.68995
0.5 0.481941 0.640555 4.14685 6.24003
0.6 0.465024 0.629286 3.52709 5.21283
0.7 0.449835 0.618215 3.05862 4.45112
0.8 0.43608 0.607339 2.69253 3.86656
0.9 0.423806 0.596654 2.39909 3.40818
1 0.412646 0.586157 2.15915 3.04003
1.1 0.402426 0.575845 1.95978 2.73917
1.2 0.393061 0.565715 1.79191 2.49005
1.3 0.384461 0.555762 1.64894 2.28139
1.4 0.376584 0.545985 1.526 2.10506
1.5 0.369362 0.53638 1.41937 1.95481
1.6 0.362679 0.526943 1.3262 1.82557
1.7 0.356473 0.517673 1.24426 1.7136
1.8 0.350679 0.508566 1.17175 1.61595
1.9 0.345243 0.499619 1.10726 1.53026
2 0.340134 0.490829 1.04962 1.45473
2.1 0.335308 0.482194 0.997872 1.3878
2.2 0.33071 0.473711 0.951226 1.32815
2.3 0.326309 0.465377 0.909021 1.27476
2.4 0.322089 0.45719 0.870698 1.22681
2.5 0.317999 0.449147 0.835788 1.18349
2.6 0.314024 0.441245 0.803887 1.14422
2.7 0.31013 0.433483 0.77465 1.10843
2.8 0.306281 0.425857 0.747776 1.07562
2.9 0.302475 0.418365 0.723006 1.04546
3 0.298653 0.411005 0.700111 1.01746
3.1 0.294765 0.403774 0.678885 0.991206
3.2 0.290761 0.396671 0.65914 0.966302
3.3 0.286677 0.389692 0.640714 0.942683
3.4 0.282518 0.382836 0.623466 0.920186
3.5 0.278317 0.376101 0.607276 0.898774
3.6 0.27408 0.369485 0.592039 0.878338
3.7 0.269813 0.362985 0.577664 0.858777
3.8 0.265543 0.356599 0.564072 0.840078
3.9 0.261267 0.350325 0.551193 0.82214
4 0.25701 0.344162 0.538966 0.804968
4.1 0.252774 0.338107 0.527337 0.788489
4.2 0.248549 0.332159 0.516259 0.772616
4.3 0.244346 0.326316 0.505688 0.75732
4.4 0.240178 0.320575 0.495584 0.742594
4.5 0.236047 0.314935 0.485914 0.728396
4.6 0.231951 0.309395 0.476647 0.714676
4.7 0.227898 0.303952 0.467754 0.701428
4.8 0.22389 0.298604 0.459211 0.688622
4.9 0.21993 0.293351 0.450994 0.676236
5 0.21602 0.28819 0.443082 0.664246
5.1 0.212158 0.28312 0.435458 0.652627
5.2 0.208348 0.278139 0.428102 0.641362
5.3 0.204593 0.273246 0.421 0.630447
5.4 0.200895 0.268439 0.414138 0.619865
5.5 0.197245 0.263717 0.407501 0.609576
5.6 0.193654 0.259077 0.401077 0.599592
5.7 0.19012 0.254519 0.394856 0.589898
5.8 0.186641 0.250042 0.388826 0.580471
5.9 0.183219 0.245643 0.382979 0.57131
6 0.179854 0.241321 0.377304 0.562401
6.1 0.176544 0.237076 0.371795 0.55373
6.2 0.173289 0.232905 0.366442 0.545289
6.3 0.17009 0.228808 0.361239 0.537072
6.4 0.166948 0.224782 0.356179 0.529074
6.5 0.163858 0.220828 0.351255 0.521275
6.6 0.160826 0.216943 0.346463 0.513686
6.7 0.157845 0.213126 0.341796 0.50628
6.8 0.154919 0.209377 0.337249 0.499063
6.9 0.152044 0.205693 0.332817 0.492021
7 0.149223 0.202075 0.328495 0.485159
7.1 0.146454 0.19852 0.324281 0.478464
7.2 0.143735 0.195027 0.320168 0.471927
7.3 0.141067 0.191596 0.316154 0.46555
7.4 0.138449 0.188225 0.312235 0.459328
7.5 0.135878 0.184914 0.308407 0.453245
7.6 0.133354 0.181661 0.304667 0.447301
7.7 0.130881 0.178465 0.301012 0.441507
7.79999 0.128453 0.175325 0.297439 0.435841
7.89999 0.126069 0.172241 0.293946 0.430298
7.99999 0.123732 0.169211 0.290529 0.424888
8.09999 0.121438 0.166234 0.287186 0.419593
8.2 0.119189 0.163309 0.283915 0.414423
8.3 0.116982 0.160436 0.280713 0.409362
8.4 0.114817 0.157614 0.277578 0.404416
8.5 0.112694 0.154841 0.274509 0.399575
8.6 0.11061 0.152117 0.271502 0.394839
8.7 0.108566 0.149441 0.268557 0.390204
8.8 0.106562 0.146812 0.265671 0.38567
