#    0.7000000         2.817029       50
      0.000000        0.9999993        0.3425202    
     0.6400000         1.010936        0.7589328    
      1.280000         1.011582        0.9906814    
      1.920000         1.002859         1.026776    
      2.560000        0.9860116         1.022525    
      3.200000        0.9698068         1.022791    
      3.840000        0.9647957         1.029785    
      4.480000        0.9621122         1.038673    
      5.120000        0.9613016         1.050856    
      5.760000        0.9613011         1.065065    
      6.400000        0.9622288         1.081057    
      7.040000        0.9636283         1.098555    
      7.680000        0.9651416         1.117382    
      8.320000        0.9673375         1.137531    
      8.960000        0.9696075         1.158726    
      9.599999        0.9711892         1.181342    
      10.24000        0.9745481         1.204291    
      10.88000        0.9760799         1.228696    
      11.52000        0.9785167         1.253598    
      12.16000        0.9813389         1.278942    
      12.80000        0.9825542         1.304968    
      13.44000        0.9848120         1.331215    
      14.08000        0.9864326         1.357573    
      14.72000        0.9891544         1.383490    
      15.36000        0.9898733         1.409585    
      16.00000        0.9922778         1.434098    
      16.64000        0.9900723         1.458377    
      17.28000        0.9926578         1.481355    
      17.92000        0.9975563         1.502810    
      18.56000        0.9958351         1.524099    
      19.20000        0.9982926         1.543625    
      19.84000         1.002873         1.560131    
      20.48000        0.9991471         1.576856    
      21.12000         1.002269         1.591276    
      21.76000        0.9940987         1.603868    
      22.40000        0.9772345         1.615876    
      23.04000        0.9999161         1.626106    
      23.68000        0.9877345         1.635142    
      24.32000        0.9950837         1.642949    
      24.96000         1.008050         1.648136    
      25.60000         1.012666         1.655073    
      26.24000        0.9738756         1.661067    
      26.88000         1.062806         1.664848    
      27.52000        0.9749053         1.669123    
      28.16000        0.9886583         1.673331    
      28.80000         1.162623         1.675328    
      29.44000        0.9920550         1.679599    
      30.08000        0.9234326         1.684028    
      30.72000         1.177622         1.684295    
      31.36000        0.9584455         1.687942    
      32.00000         1.051510         1.688816    
