   0.0000000       55.653614    
  0.63999999       3.9266791    
   1.2800000       2.0901837    
   1.9200000       1.5286009    
   2.5599999       1.3111409    
   3.2000000       1.2241368    
   3.8399999       1.1819545    
   4.4800000       1.1625701    
   5.1199999       1.1584113    
   5.7600002       1.1658072    
   6.4000001       1.1827865    
   7.0400000       1.2083353    
   7.6799998       1.2420174    
   8.3199997       1.2836287    
   8.9600000       1.3332661    
   9.5999994       1.3911544    
   10.240000       1.4575472    
   10.880000       1.5328898    
   11.520000       1.6176616    
   12.160000       1.7124474    
   12.800000       1.8179241    
   13.440000       1.9350085    
   14.080000       2.0641780    
   14.720000       2.2065656    
   15.360000       2.3631692    
   16.000000       2.5351987    
   16.639999       2.7239172    
   17.280001       2.9307134    
   17.920000       3.1571429    
   18.559999       3.4049466    
   19.200001       3.6760280    
   19.840000       3.9724681    
   20.480000       4.2967277    
   21.120001       4.6523051    
   21.760000       5.0418406    
   22.400000       5.4678726    
   23.040001       5.9338017    
   23.680000       6.4434495    
   24.320000       7.0008793    
   24.959999       7.6106572    
   25.600000       8.2778149    
   26.240000       9.0084972    
   26.879999       9.8157034    
   27.520000       10.753106    
   28.160000       12.037963    
   28.799999       14.340514    
   29.440001       19.417461    
   30.080000       32.201134    
   30.719999       69.745819    
   31.360001       206.57314    
   32.000000       862.05347    
